Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
0.002,3.16,0.0016,3.252,1,14.24,-0.2
0.002,2.91,0.0024,3.228,1.06,14.37,0.9
0.004,3.33,0.0032,3.228,1.06,14.37,0.9
0.004,3.16,0.004,3.328,0.89,14.02,-5.7
0.004,3.58,0.0048,3.392,0.79,13.83,-10.3
0.0059,3.66,0.0054,3.32,0.9,14.04,-5.1
0.006,3.23,0.0062,3.334,0.88,14,-6.1
0.007,2.97,0.007,3.36,0.84,13.93,-8
0.008,3.23,0.0078,3.268,0.97,14.2,-1.3
0.008,3.71,0.0086,3.244,1.02,14.28,0.2
0.01,3.2,0.0096,3.52,0.6,13.46,-19.6
0.01,3.11,0.0104,3.604,0.48,13.21,-25.8
0.0118,4.35,0.0112,3.73,0.3,12.84,-34.9
0.012,3.65,0.0118,3.784,0.22,12.68,-38.8
0.012,4.34,0.0128,4.026,-0.14,11.97,-56.4
0.013,3.47,0.0136,4.1,-0.25,11.76,-61.8
0.015,4.32,0.0148,4.384,-0.66,10.92,-82.5
0.016,4.72,0.016,4.48,-0.8,10.64,-89.4
0.0179,5.07,0.017,4.796,-1.27,9.72,-112.4
0.018,4.82,0.0176,4.872,-1.38,9.49,-118
0.018,5.05,0.0184,4.922,-1.45,9.35,-121.6
0.018,4.7,0.0188,4.85,-1.35,9.56,-116.4
0.02,4.97,0.0195,4.884,-1.4,9.46,-118.8
0.02,4.71,0.0205,4.758,-1.21,9.83,-109.7
0.0214,4.99,0.0217,4.804,-1.28,9.69,-113
0.023,4.42,0.0225,4.734,-1.18,9.9,-107.9
0.024,4.93,0.0237,4.756,-1.21,9.83,-109.5
0.024,4.62,0.0248,4.712,-1.14,9.96,-106.3
0.026,4.82,0.0258,4.72,-1.16,9.94,-106.9
0.027,4.77,0.0266,4.652,-1.06,10.14,-102
0.028,4.46,0.0278,4.588,-0.96,10.33,-97.3
0.028,4.59,0.0287,4.554,-0.91,10.43,-94.8
0.03,4.3,0.0297,4.504,-0.84,10.57,-91.2
0.0305,4.65,0.0307,4.52,-0.86,10.52,-92.4
0.032,4.52,0.0317,4.458,-0.77,10.71,-87.8
0.033,4.54,0.0324,4.558,-0.92,10.41,-95.1
0.033,4.28,0.0335,4.524,-0.87,10.51,-92.7
0.0335,4.8,0.0343,4.554,-0.91,10.43,-94.8
0.036,4.48,0.0351,4.482,-0.81,10.64,-89.6
0.0361,4.67,0.0363,4.544,-0.9,10.45,-94.1
0.037,4.18,0.0376,4.454,-0.77,10.72,-87.6
0.0388,4.59,0.0384,4.472,-0.79,10.67,-88.9
0.04,4.35,0.0394,4.414,-0.71,10.84,-84.7
0.04,4.57,0.0404,4.418,-0.71,10.82,-84.9
0.041,4.38,0.0411,4.406,-0.7,10.86,-84.1
0.042,4.2,0.0419,4.452,-0.76,10.72,-87.4
0.0423,4.53,0.043,4.428,-0.73,10.79,-85.7
0.044,4.58,0.0442,4.406,-0.7,10.86,-84.1
0.0457,4.45,0.0454,4.392,-0.67,10.9,-83.1
0.047,4.27,0.0465,4.382,-0.66,10.93,-82.3
0.048,4.13,0.0475,4.382,-0.66,10.93,-82.3
0.048,4.48,0.0483,4.378,-0.65,10.94,-82
0.0486,4.58,0.0491,4.414,-0.71,10.84,-84.7
0.05,4.43,0.0499,4.472,-0.79,10.67,-88.9
0.0507,4.45,0.0507,4.362,-0.63,10.99,-80.9
0.052,4.42,0.0513,4.338,-0.6,11.06,-79.1
0.052,3.93,0.0519,4.29,-0.53,11.2,-75.6
0.052,4.46,0.0528,4.206,-0.4,11.45,-69.5
0.0529,4.19,0.0534,4.168,-0.35,11.56,-66.8
0.055,4.03,0.0542,4.276,-0.5,11.24,-74.6
0.0551,4.23,0.0552,4.294,-0.53,11.19,-75.9
0.056,4.47,0.056,4.226,-0.43,11.39,-71
0.0569,4.55,0.057,4.328,-0.58,11.09,-78.4
0.057,3.85,0.0581,4.414,-0.71,10.84,-84.7
0.06,4.54,0.0591,4.358,-0.63,11,-80.6
0.0607,4.66,0.0605,4.318,-0.57,11.12,-77.7
0.061,4.19,0.0619,4.386,-0.67,10.92,-82.6
0.064,4.35,0.0627,4.384,-0.66,10.92,-82.5
0.064,4.19,0.0635,4.326,-0.58,11.09,-78.3
0.064,4.53,0.0643,4.44,-0.75,10.76,-86.6
0.0645,4.37,0.0651,4.448,-0.76,10.74,-87.1
0.065,4.76,0.0661,4.436,-0.74,10.77,-86.3
0.068,4.39,0.0674,4.322,-0.57,11.11,-78
0.069,4.13,0.0689,4.24,-0.45,11.35,-72
0.0705,3.96,0.0703,4.128,-0.29,11.67,-63.8
0.072,3.96,0.0715,4.048,-0.17,11.91,-58
0.072,4.2,0.0729,4.052,-0.18,11.9,-58.3
0.0741,3.99,0.074,4.088,-0.23,11.79,-61
0.076,4.15,0.075,4.074,-0.21,11.83,-59.9
0.076,4.14,0.0766,3.988,-0.08,12.09,-53.7
0.077,3.89,0.0778,3.912,0.03,12.31,-48.2
0.0799,3.77,0.0786,3.784,0.22,12.68,-38.8
0.08,3.61,0.0794,3.766,0.24,12.74,-37.5
0.08,3.51,0.0806,3.796,0.2,12.65,-39.7
0.08,4.05,0.0812,3.78,0.22,12.7,-38.5
0.0829,4.04,0.082,3.838,0.14,12.53,-42.8
0.083,3.69,0.0832,3.994,-0.09,12.07,-54.1
0.084,3.9,0.0846,3.958,-0.04,12.17,-51.5
0.086,4.29,0.0856,3.918,0.02,12.29,-48.6
0.087,3.87,0.0868,3.964,-0.05,12.16,-51.9
0.088,3.84,0.0879,3.998,-0.1,12.06,-54.4
0.089,3.92,0.0887,3.99,-0.09,12.08,-53.8
0.0894,4.07,0.0895,3.938,-0.01,12.23,-50
0.09,4.25,0.0903,3.95,-0.03,12.2,-50.9
0.091,3.61,0.0911,3.97,-0.06,12.14,-52.4
0.092,3.9,0.0922,3.892,0.06,12.37,-46.7
0.0929,4.02,0.0932,3.726,0.3,12.85,-34.6
0.095,3.68,0.0942,3.794,0.2,12.65,-39.6
0.095,3.42,0.0951,3.776,0.23,12.71,-38.3
0.096,3.95,0.0961,3.716,0.32,12.88,-33.9
0.0967,3.81,0.0969,3.728,0.3,12.85,-34.8
0.098,3.72,0.0979,3.822,0.16,12.57,-41.6
0.099,3.74,0.0988,3.756,0.26,12.77,-36.8
0.1,3.89,0.0997,3.764,0.25,12.74,-37.4
0.1004,3.62,0.1009,3.728,0.3,12.85,-34.8
0.101,3.85,0.1019,3.674,0.38,13.01,-30.8
0.104,3.54,0.1027,3.656,0.4,13.06,-29.5
0.104,3.47,0.1038,3.726,0.3,12.85,-34.6
0.104,3.8,0.1052,3.708,0.33,12.91,-33.3
0.1062,3.97,0.1062,3.77,0.24,12.72,-37.8
0.108,3.76,0.1072,3.838,0.14,12.53,-42.8
0.109,3.85,0.1088,3.878,0.08,12.41,-45.7
0.109,3.81,0.11,3.82,0.16,12.58,-41.5
0.112,4,0.111,3.842,0.13,12.51,-43
0.112,3.68,0.112,3.728,0.3,12.85,-34.8
0.113,3.87,0.113,3.656,0.4,13.06,-29.5
0.114,3.28,0.1137,3.594,0.5,13.24,-25
0.114,3.45,0.1145,3.544,0.57,13.39,-21.4
0.1155,3.69,0.1155,3.62,0.46,13.16,-26.9
0.116,3.43,0.1165,3.688,0.36,12.97,-31.9
0.118,4.25,0.1175,3.542,0.57,13.39,-21.2
0.1188,3.62,0.1184,3.448,0.71,13.67,-14.4
0.119,2.72,0.1192,3.412,0.76,13.77,-11.8
0.12,3.22,0.1199,3.2,1.13,14.52,2
0.12,3.25,0.1205,3.014,1.63,15.51,9.4
0.1217,3.19,0.1215,3.13,1.32,14.89,4.8
0.122,2.69,0.1224,3.096,1.41,15.07,6.2
0.124,3.3,0.1236,3.004,1.66,15.56,9.8
0.1244,3.05,0.1245,3.246,1.01,14.27,0.2
0.126,2.79,0.1255,3.476,0.67,13.59,-16.4
0.126,4.4,0.1263,3.572,0.53,13.31,-23.4
0.1269,3.84,0.1276,3.7,0.34,12.93,-32.7
0.128,3.78,0.1286,4.07,-0.2,11.84,-59.6
0.131,3.69,0.1298,4.076,-0.21,11.83,-60.1
0.1312,4.64,0.131,4.208,-0.41,11.44,-69.7
0.132,4.43,0.1324,4.45,-0.76,10.73,-87.3
0.133,4.5,0.1334,4.704,-1.13,9.98,-105.8
0.135,4.99,0.1344,4.73,-1.17,9.91,-107.6
0.136,4.96,0.1354,4.748,-1.2,9.86,-108.9
0.136,4.77,0.1368,4.826,-1.31,9.63,-114.6
0.137,4.52,0.1378,4.744,-1.19,9.87,-108.7
0.14,4.89,0.1386,4.71,-1.14,9.97,-106.2
0.14,4.58,0.1396,4.716,-1.15,9.95,-106.6
0.14,4.79,0.1404,4.722,-1.16,9.93,-107.1
0.141,4.8,0.141,4.654,-1.06,10.13,-102.1
0.141,4.55,0.1418,4.65,-1.05,10.14,-101.8
0.143,4.55,0.1426,4.64,-1.04,10.17,-101.1
0.144,4.56,0.1433,4.666,-1.08,10.1,-103
0.144,4.74,0.1441,4.614,-1,10.25,-99.2
0.1447,4.93,0.1449,4.698,-1.12,10,-105.3
0.145,4.29,0.1457,4.722,-1.16,9.93,-107.1
0.1466,4.97,0.1465,4.704,-1.13,9.98,-105.8
0.148,4.68,0.1472,4.684,-1.1,10.04,-104.3
0.148,4.65,0.148,4.84,-1.33,9.59,-115.6
0.1482,4.83,0.1486,4.794,-1.26,9.72,-112.3
0.149,5.07,0.1492,4.718,-1.15,9.94,-106.8
0.1498,4.74,0.15,4.704,-1.13,9.98,-105.8
0.151,4.3,0.1508,4.654,-1.06,10.13,-102.1
0.152,4.58,0.1516,4.596,-0.97,10.3,-97.9
0.1521,4.58,0.1526,4.566,-0.93,10.39,-95.7
0.153,4.78,0.1536,4.518,-0.86,10.53,-92.2
0.1548,4.59,0.1544,4.528,-0.87,10.5,-92.9
0.156,4.06,0.1554,4.512,-0.85,10.55,-91.8
0.156,4.63,0.1563,4.476,-0.8,10.65,-89.2
0.157,4.5,0.1573,4.482,-0.81,10.64,-89.6
0.1575,4.6,0.1581,4.546,-0.9,10.45,-94.3
0.16,4.62,0.1591,4.574,-0.94,10.37,-96.3
0.1602,4.38,0.1599,4.54,-0.89,10.47,-93.8
0.161,4.77,0.161,4.49,-0.82,10.61,-90.2
0.161,4.33,0.1618,4.452,-0.76,10.72,-87.4
0.163,4.35,0.1629,4.436,-0.74,10.77,-86.3
0.164,4.43,0.1639,4.32,-0.57,11.11,-77.8
0.1655,4.3,0.1651,4.36,-0.63,10.99,-80.7
0.166,4.19,0.166,4.362,-0.63,10.99,-80.9
0.167,4.53,0.1668,4.33,-0.58,11.08,-78.6
0.1677,4.36,0.1677,4.37,-0.64,10.96,-81.4
0.168,4.27,0.1687,4.354,-0.62,11.01,-80.3
0.1698,4.5,0.1695,4.254,-0.47,11.31,-73
0.171,4.11,0.1704,4.266,-0.49,11.27,-73.9
0.171,4.03,0.1712,4.262,-0.48,11.28,-73.6
0.172,4.42,0.172,4.266,-0.49,11.27,-73.9
0.172,4.25,0.173,4.284,-0.52,11.22,-75.2
0.1741,4.52,0.174,4.3,-0.54,11.17,-76.4
0.176,4.2,0.1748,4.274,-0.5,11.25,-74.5
0.176,4.11,0.1757,4.346,-0.61,11.03,-79.7
0.176,4.29,0.1769,4.31,-0.55,11.14,-77.1
0.1763,4.61,0.1778,4.336,-0.59,11.06,-79
0.18,4.34,0.1788,4.342,-0.6,11.05,-79.4
0.1808,4.33,0.1802,4.384,-0.66,10.92,-82.5
0.181,4.14,0.1818,4.316,-0.56,11.12,-77.5
0.183,4.5,0.183,4.336,-0.59,11.06,-79
0.184,4.27,0.184,4.258,-0.48,11.29,-73.3
0.186,4.44,0.1853,4.242,-0.45,11.34,-72.2
